state_fips,county_fips,census_year,pnsp_year,harvested_cropland_acres,group_acres,coverage,n_crop_groups,n_suppressed_crop_records,shannon_H,effective_n_crops,top1_share,top3_share,dominant_crop,stratum,high_input_acres,high_input_share,total_kg_high,insecticide_kg_high,neonic_kg_high,insecticide_kg_low,insecticide_g_per_acre_high,insecticide_g_per_acre_low,total_g_per_acre_high
12,67,2017,2018,28803.0,27447.0,0.952922,11,4,1.473647,4.365127,0.390134,0.845302,Peanuts,Southern row crops,14371.0,0.523591,36138.3,3831.7,100.4,2974.6,133.031281,103.273965,1254.671388
12,71,2017,2018,14571.0,15102.0,1.036442,5,2,1.032065,2.806856,0.464442,0.999603,Vegetables,Specialty (veg / orchard / berry),12463.0,0.825255,242610.0,5722.8,259.5,4839.9,392.752728,332.159769,16650.195594
12,75,2017,2018,50082.0,48301.0,0.964438,8,3,1.29417,3.647965,0.401627,0.916896,Peanuts,Southern row crops,22033.0,0.45616,129170.7,6829.0,608.2,4576.8,136.356376,91.386127,2579.184138
12,79,2017,2018,35012.0,30530.0,0.871987,7,7,1.15839,3.184802,0.513528,0.968359,Hay & haylage,Hay & small grains,8452.0,0.276842,119596.4,4227.2,373.7,1826.1,120.735748,52.156404,3415.868845
12,81,2017,2018,59541.0,56457.0,0.948204,3,4,0.760697,2.139766,0.716793,1.0,Vegetables,Specialty (veg / orchard / berry),52165.0,0.923978,1521460.3,25567.9,2630.4,23515.7,429.416704,394.949699,25553.153289
12,83,2017,2018,51516.0,49240.0,0.95582,8,5,0.953117,2.593783,0.709911,0.939907,Hay & haylage,Hay & small grains,13864.0,0.28156,94540.7,3687.3,409.9,2803.1,71.575821,54.412221,1835.171597
12,91,2017,2018,10586.0,10480.0,0.989987,8,2,1.445204,4.242717,0.389218,0.889504,Hay & haylage,Hay & small grains,5710.0,0.544847,52520.2,2645.8,169.3,2037.5,249.933875,192.471188,4961.288494
12,101,2017,2018,15691.0,15036.0,0.958256,5,3,0.576665,1.780092,0.800013,0.992884,Hay & haylage,Hay & small grains,2992.0,0.198989,142134.3,3435.6,382.4,2458.4,218.95354,156.675801,9058.332802
12,105,2017,2018,102491.0,95337.0,0.930199,4,3,0.638593,1.893814,0.789851,0.98241,Orchards (fruit & tree nuts),Specialty (veg / orchard / berry),78875.0,0.827328,1789910.1,46712.8,5396.8,34599.5,455.774653,337.585739,17464.070992
12,109,2017,2018,15581.0,14933.0,0.958411,3,4,0.664626,1.943764,0.779482,1.0,Vegetables,Specialty (veg / orchard / berry),11640.0,0.779482,761735.5,4297.0,71.6,616.8,275.784609,39.586676,48888.742699
