normalized,pnsp_compound,pur_chemname,pur_chem_code,cfr180_chemical,cfr180_section,n_sources
2346TETRACHLOROPHENOL,,"2,3,4,6-TETRACHLOROPHENOL, POTASSIUM SALT",1725,,,1
2356TETRACHLORO4PYRIDINE,,"2,3,5,6-TETRACHLORO-4-(METHYLSULFONYL) PYRIDINE",1675,,,1
2356TETRACHLORO4PYRIDINEOTHERRELATED,,"2,3,5,6-TETRACHLORO-4-(METHYLSULFONYL) PYRIDINE, OTHER RELATED",91675,,,1
2356TETRAFLUORO4METHYLBENZYL1RSCIS3Z2CHLORO333CARBOXYLATE,,"2,3,5,6-TETRAFLUORO-4-METHYLBENZYL (1RS-CIS-3-Z-2-CHLORO-3,3,3-CARBOXYLATE",2932,,,1
235TRICHLORO4PYRIDINE,,"2,3,5-TRICHLORO-4-(PROPYLSULFONYL) PYRIDINE",1819,,,1
235TRICHLORO4PYRIDINEOTHERRELATED,,"2,3,5-TRICHLORO-4-(PROPYLSULFONYL)PYRIDINE, OTHER RELATED",91819,,,1
235TRIIODOBENZOICDIMETHYLAMINE,,"2,3,5-TRIIODO BENZOIC ACID, DIMETHYLAMINE SALT",797,,,1
235TRIIODOBENZOICDIMETHYLAMINEOTHERRELATED,,"2,3,5-TRIIODOBENZOIC ACID, DIMETHYLAMINE SALT, OTHER RELATED",90797,,,1
236TICHLOROBENZOICDIMETHYLAMINEOTHERRELATED,,"2,3,6-TICHLOROBENZOIC ACID, DIMETHYLAMINE SALT, OTHER RELATED",90800,,,1
236TRICHLOROBENZOICDIMETHYLAMINE,,"2,3,6-TRICHLOROBENZOIC ACID, DIMETHYLAMINE SALT",800,,,1
23DICHLOROPROPENE,,"2,3-DICHLOROPROPENE",506,,,1
245T,,"2,4,5-T",639,,,1
245T2ETHYLHEXYL,,"2,4,5-T, 2-ETHYLHEXYL ESTER",1092,,,1
245TALKYLAMINE,,"2,4,5-T, ALKYLAMINE SALT",818,,,1
245TBUTOXYETHANOL,,"2,4,5-T, BUTOXYETHANOL ESTER",819,,,1
245TBUTOXYPROPYL,,"2,4,5-T, BUTOXYPROPYL ESTER",824,,,1
245TBUTYL,,"2,4,5-T, BUTYL ESTER",822,,,1
245TDIMETHYLAMINE,,"2,4,5-T, DIMETHYLAMINE SALT",1474,,,1
245TDODECYLAMINE,,"2,4,5-T, DODECYLAMINE SALT",1988,,,1
245TISOOCTYL,,"2,4,5-T, ISOOCTYL ESTER",851,,,1
245TNOLEYL13PROPYLENEDIAMINE,,"2,4,5-T, N-OLEYL-1,3-PROPYLENEDIAMINE SALT",1097,,,1
245TRICHLOROPHENOL,,"2,4,5-TRICHLOROPHENOL|2,4,5-TRICHLOROPHENOL, POTASSIUM SALT|2,4,5-TRICHLOROPHENOL, SODIUM SALT",1050|1382|1656,,,1
245TRICHLOROPHENOLOTHERRELATED,,"2,4,5-TRICHLOROPHENOL, POTASSIUM SALT, OTHER RELATED|2,4,5-TRICHLOROPHENOL, SODIUM SALT, OTHER RELATED",91050|91656,,,1
245TTETRADECYLAMINE,,"2,4,5-T, TETRADECYLAMINE SALT",1989,,,1
245TTRIETHYLAMINE,,"2,4,5-T, TRIETHYLAMINE SALT",850,,,1
246TRICHLOROPHENOL,,"2,4,6-TRICHLOROPHENOL|2,4,6-TRICHLOROPHENOL, SODIUM SALT",1189|640|960,,,1
246TRICHLOROPHENOLOTHERRELATED,,"2,4,6-TRICHLOROPHENOL, SODIUM SALT, OTHER RELATED",90960,,,1
246TRIISOPROPYLPHENOL,,"2,4,6-TRIISOPROPYL PHENOL",3492,,,1
246TRISPHENOL,,"2,4,6-TRIS(DIMETHYLAMINOMETHYL)PHENOL",6059,,,1
2479TETRAMETHYL5DECYNE47DIOL,,"2,4,7,9-TETRAMETHYL-5-DECYNE-4,7-DIOL",2934,,,1
24D,"2,4-D","2,4-D|2,4-D, LITHIUM SALT|2,4-D, SODIUM SALT",636|811|813,"2,4-D",180.142,3
24D2ETHYLHEXYL,,"2,4-D, 2-ETHYLHEXYL ESTER",1622,,,1
24DALKANOLAMINE,,"2,4-D, ALKANOLAMINE SALTS (ETHANOL AND ISOPROPANOL AMINES)",801,,,1
24DB,"2,4-DB","2,4-DB ACID",5020,,,2
24DBUTOXYETHANOL,,"2,4-D, BUTOXYETHANOL ESTER",802,,,1
24DBUTOXYETHOXYPROPANOL,,"2,4-D, BUTOXY ETHOXY PROPANOL ESTER",1255,,,1
24DBUTOXYPROPYL,,"2,4-D, BUTOXYPROPYL ESTER",803,,,1
24DBUTYL,,"2,4-D, BUTYL ESTER",804,,,1
24DDIETHANOLAMINE,,"2,4-D, DIETHANOLAMINE SALT",805,,,1
24DDIETHYLAMINE,,"2,4-D, DIETHYLAMINE SALT",875,,,1
24DDIMETHYLAMINE,,"2,4-D, DIMETHYLAMINE SALT",806,,,1
24DDODECYLAMINE,,"2,4-D, DODECYLAMINE SALT",807,,,1
24DECADIENOICETHYL,,"2,4-DECADIENOIC ACID, ETHYL ESTER, (2E,4Z)-",6129,,,1
24DHEPTYLAMINE,,"2,4-D, HEPTYLAMINE SALT",1962,,,1
24DICHLOROANILINE,,"2,4-DICHLORO ANILINE",3135,,,1
24DICHLOROPHENOL,,"2,4-DICHLOROPHENOL",2499,,,1
24DICHLOROPHENOXYACETICCHOLINE,,"2,4-DICHLOROPHENOXYACETIC ACID, CHOLINE SALT",6426,,,1
