compound,biota_group,use_2018_Mkg_high,use_2018_Mkg_low,n_studies,n_tests,tier,tier_generous,tier_label,cas_resolution,n_cas_matched
FOMESAFEN,Springtails & soil mites,2.8088598,2.6014942000000003,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(2),3
FOMESAFEN,Mycorrhizal fungi,2.8088598,2.6014942000000003,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(2),3
FOMESAFEN,Soil bacteria & protozoa,2.8088598,2.6014942000000003,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(2),3
METRIBUZIN,Earthworms & potworms,2.7462115,2.4124306,0.0,0.0,0.0,0.0,No record,dtxsid,1
METRIBUZIN,Springtails & soil mites,2.7462115,2.4124306,0.0,0.0,0.0,0.0,No record,dtxsid,1
METRIBUZIN,Mycorrhizal fungi,2.7462115,2.4124306,0.0,0.0,0.0,0.0,No record,dtxsid,1
METRIBUZIN,Soil bacteria & protozoa,2.7462115,2.4124306,0.0,0.0,0.0,0.0,No record,dtxsid,1
SULFURIC ACID,Earthworms & potworms,2.6537885,2.5646356999999997,31.0,182.0,3.0,4.0,"Lab, in soil, chronic (>14 d)",dtxsid+name_family(104),105
SULFURIC ACID,Springtails & soil mites,2.6537885,2.5646356999999997,8.0,35.0,3.0,3.0,"Lab, in soil, chronic (>14 d)",dtxsid+name_family(104),105
SULFURIC ACID,Mycorrhizal fungi,2.6537885,2.5646356999999997,1.0,1.0,0.0,3.0,No record,dtxsid+name_family(104),105
SULFURIC ACID,Soil bacteria & protozoa,2.6537885,2.5646356999999997,1.0,1.0,0.0,1.0,No record,dtxsid+name_family(104),105
MANCOZEB,Earthworms & potworms,2.5672492,2.5573097000000002,6.0,38.0,3.0,3.0,"Lab, in soil, chronic (>14 d)",dtxsid+name_family(2),3
MANCOZEB,Springtails & soil mites,2.5672492,2.5573097000000002,2.0,10.0,3.0,4.0,"Lab, in soil, chronic (>14 d)",dtxsid+name_family(2),3
MANCOZEB,Mycorrhizal fungi,2.5672492,2.5573097000000002,2.0,7.0,3.0,4.0,"Lab, in soil, chronic (>14 d)",dtxsid+name_family(2),3
MANCOZEB,Soil bacteria & protozoa,2.5672492,2.5573097000000002,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(2),3
MESOTRIONE,Earthworms & potworms,2.1223615,2.0707245,1.0,1.0,0.0,2.0,No record,dtxsid+name_family(7),8
MESOTRIONE,Springtails & soil mites,2.1223615,2.0707245,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(7),8
MESOTRIONE,Mycorrhizal fungi,2.1223615,2.0707245,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(7),8
MESOTRIONE,Soil bacteria & protozoa,2.1223615,2.0707245,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(7),8
ACEPHATE,Earthworms & potworms,2.0407398,1.7302281000000002,3.0,4.0,2.0,3.0,"Lab, in soil, acute (<=14 d)",dtxsid,1
ACEPHATE,Springtails & soil mites,2.0407398,1.7302281000000002,2.0,4.0,1.0,2.0,"Lab, not in soil",dtxsid,1
ACEPHATE,Mycorrhizal fungi,2.0407398,1.7302281000000002,0.0,0.0,0.0,0.0,No record,dtxsid,1
ACEPHATE,Soil bacteria & protozoa,2.0407398,1.7302281000000002,0.0,0.0,0.0,0.0,No record,dtxsid,1
SIMAZINE,Earthworms & potworms,1.7005978,1.0843177,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(9),10
SIMAZINE,Springtails & soil mites,1.7005978,1.0843177,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(9),10
SIMAZINE,Mycorrhizal fungi,1.7005978,1.0843177,2.0,2.0,1.0,5.0,"Lab, not in soil",dtxsid+name_family(9),10
SIMAZINE,Soil bacteria & protozoa,1.7005978,1.0843177,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(9),10
SULFENTRAZONE,Earthworms & potworms,1.6561879,1.5399186999999999,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(2),3
SULFENTRAZONE,Springtails & soil mites,1.6561879,1.5399186999999999,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(2),3
SULFENTRAZONE,Mycorrhizal fungi,1.6561879,1.5399186999999999,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(2),3
SULFENTRAZONE,Soil bacteria & protozoa,1.6561879,1.5399186999999999,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(2),3
TRIBUFOS,Earthworms & potworms,1.5171922,1.4006977,0.0,0.0,0.0,0.0,No record,dtxsid,1
TRIBUFOS,Springtails & soil mites,1.5171922,1.4006977,0.0,0.0,0.0,0.0,No record,dtxsid,1
TRIBUFOS,Mycorrhizal fungi,1.5171922,1.4006977,0.0,0.0,0.0,0.0,No record,dtxsid,1
TRIBUFOS,Soil bacteria & protozoa,1.5171922,1.4006977,0.0,0.0,0.0,0.0,No record,dtxsid,1
BROMOXYNIL,Earthworms & potworms,1.3398143,1.2140434,2.0,2.0,2.0,2.0,"Lab, in soil, acute (<=14 d)",dtxsid+name_family(10),11
BROMOXYNIL,Springtails & soil mites,1.3398143,1.2140434,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(10),11
BROMOXYNIL,Mycorrhizal fungi,1.3398143,1.2140434,1.0,3.0,0.0,3.0,No record,dtxsid+name_family(10),11
BROMOXYNIL,Soil bacteria & protozoa,1.3398143,1.2140434,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(10),11
