pnsp_compound,normalized,pur_chem_code,cfr180_section,dtxsid,matched_name,match
IMAZAPIC,IMAZAPIC,5097|5911,180.49,DTXSID5034270,Imazapic,exact
IMAZAPYR,IMAZAPYR,2256,180.5,DTXSID8034665,Imazapyr,exact
IMAZAQUIN,IMAZAQUIN,2613|3006|5109,,DTXSID3024152,Imazaquin,exact
IMAZETHAPYR,IMAZETHAPYR,2340|2341,180.447,DTXSID3024287,Imazethapyr,exact
IMAZOSULFURON,IMAZOSULFURON,5987,180.651,DTXSID2057946,Imazosulfuron,exact
IMIDACLOPRID,IMIDACLOPRID,3849,180.472,DTXSID5032442,Imidacloprid,exact
INDAZIFLAM,INDAZIFLAM,5999,180.653,DTXSID0058223,Indaziflam,exact
INDOXACARB,INDOXACARB,5331,180.564,DTXSID1032690,Indoxacarb,exact
IODOSULFURON,IODOSULFURON,,,DTXSID1043968,Iodosulfuron,exact
IPCONAZOLE,IPCONAZOLE,5978,180.646,DTXSID7034674,Ipconazole,exact
IPRODIONE,IPRODIONE,2081,180.399,DTXSID3024154,Iprodione,exact
ISOXABEN,ISOXABEN,2289,180.65,DTXSID8024159,Isoxaben,exact
ISOXAFLUTOLE,ISOXAFLUTOLE,6209,180.537,DTXSID5034723,Isoxaflutole,exact
KAOLIN CLAY,KAOLINCLAY,,,DTXSID6049640,kaolin clay,exact
KINOPRENE,KINOPRENE,1949|3936,,DTXSID3032624,Kinoprene,exact
KRESOXIM-METHYL,KRESOXIMMETHYL,5451,180.554,DTXSID2032558,Kresoxim-methyl,exact
LACTOFEN,LACTOFEN,3538,180.432,DTXSID7024160,Lactofen,exact
L-GLUTAMIC ACID,LGLUTAMIC,,,DTXSID5020659,L-Glutamic acid,exact
LINURON,LINURON,361,180.184,DTXSID2024163,Linuron,exact
MALATHION,MALATHION,367,180.111,DTXSID4020791,Malathion,exact
MALEIC HYDRAZIDE,MALEICHYDRAZIDE,2130|368,,DTXSID9020792,Maleic hydrazide,exact
MANCOZEB,MANCOZEB,211,180.176,DTXSID0034695,Mancozeb,exact
MANDIPROPAMID,MANDIPROPAMID,5961,180.637,DTXSID4058075,Mandipropamid,exact
MANEB,MANEB,369,,DTXSID9020794,Maneb,exact
MCPA,MCPA,2326|788,180.339,,,prefix_only(15)
MCPB,MCPB,5055|641,,DTXSID4024193,MCPB,exact
MECOPROP,MECOPROP,,,,,prefix_only(15)
MEFENOXAM,MEFENOXAM,4011,180.546,DTXSID8032671,Mefenoxam,exact
MEPIQUAT,MEPIQUAT,,180.384,DTXSID9042122,Mepiquat,exact
