compound,pesticide_class,class_source
FLURIDONE,HERBICIDE,nass_domaincat
FLUROXYPYR,HERBICIDE,nass_domaincat
FLUSILAZOLE,UNCLASSIFIED,none
FLUTHIACET-METHYL,HERBICIDE,nass_domaincat
FLUTOLANIL,FUNGICIDE,nass_domaincat
FLUTRIAFOL,OTHER,nass_domaincat
FLUVALINATE,INSECTICIDE,nass_domaincat
FLUVALINATE-TAU,UNCLASSIFIED,none
FLUXAPYROXAD,FUNGICIDE,nass_domaincat
FOLPET,FUNGICIDE,nass_domaincat
FOMESAFEN,HERBICIDE,nass_domaincat
FONOFOS,INSECTICIDE,nass_domaincat
FORAMSULFURON,HERBICIDE,nass_domaincat
FORMETANATE,INSECTICIDE,manual
FOSAMINE,HERBICIDE,nass_domaincat
FOSETYL,FUNGICIDE,manual
GAMMA AMINOBUTYRIC ACID,UNCLASSIFIED,none
GARLIC JUICE,UNCLASSIFIED,none
GENTAMICIN SULFATE,UNCLASSIFIED,none
GIBBERELLIC ACID,OTHER,nass_domaincat
GLIOCLADIUM VIRENS,OTHER,nass_domaincat
GLUFOSINATE,HERBICIDE,manual
GLYPHOSATE,HERBICIDE,nass_domaincat
HALAUXIFEN,UNCLASSIFIED,none
HALOSULFURON,HERBICIDE,manual
HARPIN PROTEIN,OTHER,nass_domaincat
HEXAZINONE,HERBICIDE,nass_domaincat
HEXYTHIAZOX,INSECTICIDE,nass_domaincat
HYDRAMETHYLNON,INSECTICIDE,nass_domaincat
HYDRATED LIME,OTHER,manual
HYDROGEN PEROXIDE,OTHER,nass_domaincat
HYDROXYPROPANOIC ACID,UNCLASSIFIED,none
HYMEXAZOL,UNCLASSIFIED,none
IBA,UNCLASSIFIED,none
IMAZALIL,FUNGICIDE,nass_domaincat
IMAZAMETHABENZ,HERBICIDE,nass_domaincat
IMAZAMOX,HERBICIDE,nass_domaincat
IMAZAPIC,HERBICIDE,nass_domaincat
IMAZAPYR,HERBICIDE,nass_domaincat
IMAZAQUIN,HERBICIDE,nass_domaincat
IMAZETHAPYR,HERBICIDE,nass_domaincat
IMAZOSULFURON,HERBICIDE,nass_domaincat
IMIDACLOPRID,INSECTICIDE,nass_domaincat
INDAZIFLAM,OTHER,nass_domaincat
INDOLYL-BUTYRIC ACID,UNCLASSIFIED,none
INDOXACARB,INSECTICIDE,nass_domaincat
IODOSULFURON,UNCLASSIFIED,none
IPCONAZOLE,FUNGICIDE,nass_domaincat
IPRODIONE,FUNGICIDE,nass_domaincat
ISARIA FUMOSOROSEA,UNCLASSIFIED,none
ISAZOFOS,UNCLASSIFIED,none
ISOFENPHOS,INSECTICIDE,nass_domaincat
ISOFETAMID,FUNGICIDE,nass_domaincat
ISOPROPALIN,UNCLASSIFIED,none
ISOXABEN,HERBICIDE,nass_domaincat
ISOXAFLUTOLE,HERBICIDE,nass_domaincat
KAOLIN CLAY,OTHER,manual
KASUGAMYCIN,FUNGICIDE,nass_domaincat
KINOPRENE,INSECTICIDE,nass_domaincat
KRESOXIM-METHYL,FUNGICIDE,nass_domaincat
L-GLUTAMIC ACID,OTHER,nass_domaincat
LACTOFEN,HERBICIDE,nass_domaincat
