normalized,pnsp_compound,pur_chem_code,cfr180_section,dtxsid,dtxsid_match,unresolved_reason
FENPYROXIMATE,FENPYROXIMATE,5784,180.566,DTXSID7032557,exact,
FENTIN,FENTIN,,,DTXSID9058153,exact,
FERBAM,FERBAM,288,180.114,DTXSID8020624,exact,
FIPRONIL,FIPRONIL,3995,180.517,DTXSID4034609,exact,
FLAZASULFURON,FLAZASULFURON,6035,180.655,DTXSID3034610,exact,
FLONICAMID,FLONICAMID,5886,180.613,DTXSID8034611,exact,
FLORASULAM,FLORASULAM,6142,180.633,DTXSID7044340,exact,
FLUAZIFOP,FLUAZIFOP,,,DTXSID3058163,exact,
FLUAZINAM,FLUAZINAM,3898,180.574,DTXSID7032551,exact,
FLUBENDIAMIDE,FLUBENDIAMIDE,5948,180.639,DTXSID4047672,exact,
FLUCARBAZONE,FLUCARBAZONE,,,DTXSID0043979,exact,
FLUDIOXONIL,FLUDIOXONIL,5027,180.516,DTXSID2032398,exact,
FLUFENACET,FLUFENACET,5293,,DTXSID2032552,exact,
FLUMETRALIN,FLUMETRALIN,5085,,DTXSID7032553,exact,
FLUMETSULAM,FLUMETSULAM,3927,180.468,DTXSID4032615,exact,
FLUMICLORAC,FLUMICLORAC,,,DTXSID50236453,exact,
FLUMIOXAZIN,FLUMIOXAZIN,5802,180.568,DTXSID7032555,exact,
FLUOMETURON,FLUOMETURON,166,180.229,DTXSID8020628,exact,
FLUOPICOLIDE,FLUOPICOLIDE,5949,180.627,DTXSID7034624,exact,
FLUOPYRAM,FLUOPYRAM,6004,180.661,DTXSID9058151,exact,
FLUOXASTROBIN,FLUOXASTROBIN,5915,180.609,DTXSID2034625,exact,
FLURIDONE,FLURIDONE,2279,180.42,DTXSID8024107,exact,
FLUROXYPYR,FLUROXYPYR,5768,,DTXSID2034627,exact,
FLUTHIACETMETHYL,FLUTHIACET-METHYL,,180.551,DTXSID2032556,exact,
FLUTOLANIL,FLUTOLANIL,2305,180.484,DTXSID8024109,exact,
FLUTRIAFOL,FLUTRIAFOL,5971,180.629,DTXSID8040727,exact,
FLUVALINATETAU,FLUVALINATE-TAU,,,DTXSID7037555,exact,
FLUXAPYROXAD,FLUXAPYROXAD,6033,180.666,DTXSID6058215,exact,
FOMESAFEN,FOMESAFEN,,180.433,DTXSID7024112,exact,
FORAMSULFURON,FORAMSULFURON,5851,,DTXSID7034753,exact,
FORMETANATE,FORMETANATE,,,DTXSID9041990,exact,
FOSETYL,FOSETYL,,,DTXSID2057990,exact,
GALLEX,GALLEX,,,,none,abbreviated or variant spelling in PNSP - needs manual mapping
GAMMAAMINOBUTYRIC,GAMMA AMINOBUTYRIC ACID,5160,,DTXSID6035106,exact,
GIBBERELLIC,GIBBERELLIC ACID,,,DTXSID0020656,exact,
GLUFOSINATE,GLUFOSINATE,,180.473,DTXSID0043973,exact,
GLYPHOSATE,GLYPHOSATE,2997|5820,180.364,DTXSID1024122,exact,
HALOSULFURON,HALOSULFURON,,,DTXSID3074947,exact,
HARPINPROTEIN,HARPIN PROTEIN,5761,,,prefix_only(1),"biological agent - not a single substance, correctly absent from a chemical registry"
HEXAZINONE,HEXAZINONE,1871,180.396,DTXSID4024145,exact,
HEXYTHIAZOX,HEXYTHIAZOX,2303,180.448,DTXSID7024299,exact,
HYDRAMETHYLNON,HYDRAMETHYLNON,2203,180.395,DTXSID6023868,exact,
HYDRATEDLIME,HYDRATED LIME,,,DTXSID7034410,exact,
HYDROGENPEROXIDE,HYDROGEN PEROXIDE,1794,,DTXSID2020715,exact,
HYMEXAZOL,HYMEXAZOL,4034,,DTXSID3032622,exact,
IBA,IBA,323,,DTXSID0021759,exact,
IMAZALIL,IMAZALIL,2084,180.413,DTXSID8024151,exact,
